dari penelitian yang sebelumnya tentang undersampling, hasilnya menunjukan undersampling lebih baik dibandingkan dengan tidak menggunakan data sampling sama sekali. 


memungkinkan untuk melakukan undersampling 

kata slang:
anis - anies
buzer - buzzer
bpk - bapak
kash - kasih
jeung - dengan
aing - saya
koplok - 
saha - siapa
maneh - kamu
kudu - harus
lainya - lainnya
pt - pasti
manut - nurut
jurdil - jujur adil
insyaa - insya
allaah - allah
cakeeep - bagus
th - tahun
amp - sampai
min - minimal
now - sekarang
never - tidak sekarang
bokep - porno
kademisi - akademisi
lo - kamu
loe - kamu
joged - joget
trlibat - terlibat
tuch - itu
thd - terhadap
ente - kamu
khalas - kelas
bagaimnpun - bagaimanapun
y - iya
gilap - gila
marusak - merusak
pengen - ingin
u - kamu
lu - kamu
deui - lagi
oge - juga
bp - bapak
tingggi - tinggi
ngmong - ngomong
ny - nya
memenangkn - memenangkan
n - dan
nofember - november
hamble - humble
nitizen - netizen
annies - anies
tuh - itu
halu - halusinani
tujuanx - tujuannya
kelihatane - kelihatannya
gout - saya
dekte - dikte
jkw - jokowi
gue - saya
eling - sadar
gentelmen - gentleman
pleciden - presiden
lo - kamu
luh - kamu
mjdi - menjadi
dibilng - dibilang
ab - anies baswedan
tntu - tentu
buzzr - buzzer
eng - enggak
pank - panik
jend - jenderal
b - baswedan
d - dipilih
pengin - ingin
mudaham - mudahan
pd - pada
luhh - kamu
pokokne - pokoknya
gp - ganjar 
sebagan - sebagai
wong - orang
moderen - modern
retorika - retrorika
kenpa - kenapa
comenin - komenin
lastari - lestari 
bro -
ntinya - nantinya
konsen - fokus
badaq - badak
aslkm - assalamualaikum
ds - desa
tauk - tahu
skrg - sekarang
wahay - wahai
mentri - menteri
pd - pada
cbong - cebong
abdet - update
relek - rileks
gitoh - gitu
slesai - selesai
nie - ini
bang - abang
lur - teman
dgrin - dengerin
kudet - kurang update
byx - banyak
p - pak
hslinya - hasilnya
ndiri - sendiri
khan - kan
iki - ini 
ojo - jangan 
bosok - jelek
mantab - mantap
lngsng - langsung
ntr - entar
nape - kenapa
aplg - apalagi
cemeeen - penakut
kecewe - kecewa
sp - surya paloh
ude - sudah
klojotan - kelojotan
gub - gubernur
yv - yang
diperhitungkn - diperhitungkan
semangad - semangat
sayentipic - scientific
spa - siapa
tau - tahu
ssdh - sesudah
kekeuh - harus
jdkan - jadikan
harg - harga
okigarkhi - oligarki
cilik - rendah
acua - acuan

