slang,formal
a,
aamiin,amin
aamin,amin
aaminn,amin
ab,
abadi,
abaikan,
abang,
abdet,update
abi,
abis,
abon,
abrakadabra,
abu,
abud,
aburizal,
abut,
acara,
aceh,
action,
acua,acuan
ada,
adab,
adalah,
adanya,
adapun,
adem,
adh,adalah
adi,
adil,
admin,
administrasi,
adu,
aduh,
aduk,
advocacy,
advocate,
aeeettt,
aeperti,seperti
agama,
agamanya,
agamis,
agar,
agen,
agenda,
agungkan,
agus,
ah,
aher,
ahli,
ahmad,
ahok,
ahoker,
ahy,
aing,saya
air,
airlangga,
airnya,
aja,
ajaaaaaaa,aja
ajak,
ajudan,
ajukan,
akademik,
akademis,
akademisi,
akal,
akan,
akbar,
ake,pake
akhbar,akbar
akhir,
akhirnya,
aki,aku
akibat,
aktif,
aktifitas,aktivitas
aku,
akun,
akunnya,
akur,
al,
ala,
alam,
alangkah,
alasan,
alat,
alert,
alex,
alhamdulilah,alhamdulillah
alhamdulillah,
alhamdulliah,alhamdulillah
ali,
aliansi,
alias,
alkhamdulillah,
all,
allaah,allah
allah,
allahu,
allahuakbar,
allahumma,
almaidah,
alumni,
aman,
amanah,
amanat,
amat,
ambil,
ambisius,
ambles,
amien,amin
amiin,amin
amiinn,amin
amin,
amit,
amitttt,
amp,sukses
ampun,
an,
anak,
analisa,
analisis,
analogi,
ancaman,
and,
anda,
andai,
andaikan,
andakah,
andalan,
andhika,
andika,
ane,saya
aneh,
anehnya,
ang,
anggap,
anggota,
anggotanya,
angin,
angka,
angkat,
angkatbuat,
anies,
aniesbaswedan,
aniesgabenerpembohong,
aniesnya,
aniespilihanrakyat,
aniespresiden,
aniespresidenri,
animo,
anis,anies
anjing,
anjink,anjing
anjir,
annas,
annies,anies
antar,
antara,
anti,
antitesa,
antithesa,antitesa
anyone,
apa,
apa-apa,
apaan,
apabila,
apakah,
apalagi,
apanya,
apapun,
apes,
api,
aplaus,applause
aplg,apalagi
aplikasi,
apple,
arab,
arah,
arahan,
arahannya,
arahkan,
aral,
argumen,
arief,
artikel,
artinya,
arus,
arya,
as,amerika
asal,
aseng,asing
aset,
asik,
asing,
asli,
aslkm,assalamualaikum
aspirasi,
assalamualaikum,
asupan,
asuuuuu,asu
at,
atas,
atasi,
atau,
ataupun,
atay,atau
ati,hati
atik,
attendees,
attending,
atuh,
atur,
aturan,
auranya,
awak,
awal,
awam,
awas,
aya,
ayat,
ayo,
azab,
b,
babi,
baca,
bacapres,
bacot,
bacotan,omongan
bacotlu,
badan,
badaq,badak
bagaikan,
bagaimana,
bagaimnpun,bagaimanapun
bagantong,
bagekan,bagaikan
bagi,
bagian,
bagiku,
bagus,
bah,
bahan,
bahas,
bahasan,
bahaya,
bahkan,
bahtera,
bahu,
bahwa,
baik,
baiklah,
baiknya,
bakal,
bakalan,
bakalnya,
bakri,
baksos,
bakti,
bali,
baliho,
balik,
balkot,
balloon,
balon,
balonpres,bacapres
bambang,
bandingkan,
bandung,
bang,abang
banget,
bangetz,banget
bangga,
banggakan,
bangkrut,
bangsa,
bangsat,
bangsatkan,
bangun,
bangunan,
banjir,
bantai,
banteng,
bantu,
bantuan,
banyak,
bapaaak,bapak
bapak,
